id,tag,cer,wer,hyp_chars,ref_chars,S,D,I,N
MT-021,EXP-006,0.297,0.769,138,148,28,3,13,148
MT-022,EXP-006,0.237,0.704,191,190,36,5,4,190
MT-023,EXP-006,0.305,0.676,245,233,45,19,7,233
MT-024,EXP-006,0.346,0.641,220,234,51,8,22,234
MT-025,EXP-006,0.13,0.438,193,200,13,3,10,200
MT-026,EXP-006,0.415,0.947,224,234,63,12,22,234
MT-027,EXP-006,0.209,0.611,235,235,33,8,8,235
MT-028,EXP-006,0.233,0.581,181,180,23,10,9,180
MT-029,EXP-006,0.26,0.696,243,262,39,5,24,262
MT-030,EXP-006,0.338,0.655,270,296,48,13,39,296
MT-031,EXP-006,0.464,0.792,258,274,79,16,32,274
MT-032,EXP-006,0.576,0.706,101,99,15,22,20,99
MT-033,EXP-006,0.254,0.529,128,118,14,13,3,118
MT-034,EXP-006,0.387,0.696,222,243,53,10,31,243
MT-035,EXP-006,0.416,0.9,220,219,60,16,15,219
MT-036,EXP-006,0.149,0.471,195,201,16,4,10,201
MT-037,EXP-006,0.284,0.675,210,218,44,5,13,218
MT-038,EXP-006,0.912,1.0,256,240,179,28,12,240
MT-039,EXP-006,0.272,0.591,133,125,14,14,6,125
MT-040,EXP-006,0.433,0.814,240,238,69,18,16,238
MT-041,EXP-006,0.283,0.667,246,258,35,13,25,258
MT-042,EXP-006,0.044,0.143,92,91,3,1,0,91
MT-043,EXP-006,0.129,0.391,144,155,9,0,11,155
MT-044,EXP-006,0.073,0.185,149,151,9,0,2,151
MT-045,EXP-006,0.345,0.538,150,145,27,14,9,145
MT-046,EXP-006,0.093,0.364,132,129,7,4,1,129
MT-047,EXP-006,0.17,0.5,154,153,13,7,6,153
MT-048,EXP-006,0.026,0.2,76,76,2,0,0,76
MT-049,EXP-006,0.335,0.786,178,179,45,7,8,179
MT-050,EXP-006,0.434,0.829,191,205,65,5,19,205
