id,tag,cer,wer,hyp_chars,ref_chars,S,D,I,N
MT-001,EXP-002,0.171,0.381,109,111,7,5,7,111
MT-002,EXP-002,0.099,0.286,95,91,3,5,1,91
MT-003,EXP-002,0.567,0.955,129,120,45,16,7,120
MT-004,EXP-004,0.137,0.4,189,190,17,4,5,190
MT-005,EXP-004,0.479,0.9,105,119,37,3,17,119
MT-006,EXP-004,0.239,0.55,109,113,19,2,6,113
MT-007,EXP-004,0.493,0.846,66,73,25,2,9,73
MT-008,EXP-004,0.539,0.926,133,141,50,9,17,141
MT-009,EXP-004,0.429,0.769,139,147,45,5,13,147
MT-010,EXP-004,0.359,0.762,140,142,41,4,6,142
MT-011,EXP-004,0.55,0.913,122,131,45,9,18,131
MT-012,EXP-004,0.28,0.867,99,93,14,9,3,93
MT-013,EXP-004,0.293,0.741,178,167,26,17,6,167
MT-014,EXP-004,0.131,0.409,158,153,7,9,4,153
MT-015,EXP-004,0.129,0.393,179,178,20,2,1,178
MT-016,EXP-004,0.255,0.667,184,196,30,4,16,196
MT-017,EXP-004,0.327,0.867,95,104,15,5,14,104
MT-018,EXP-004,0.361,0.793,173,180,42,8,15,180
MT-019,EXP-004,0.236,0.65,202,203,25,11,12,203
MT-020,EXP-004,0.256,0.692,192,199,34,5,12,199
