config,sample,cer,wer,hyp_chars,ref_chars
original,MT-001,0.1712,0.381,109,111
original,MT-002,0.0989,0.2857,95,91
original,MT-003,0.5667,0.9545,129,120
original,MT-004,0.1368,0.4,189,190
original,MT-005,0.479,0.9,105,119
original,MT-006,0.2389,0.55,109,113
original,MT-007,0.4932,0.8462,66,73
original,MT-008,0.539,0.9259,133,141
original,MT-009,0.4286,0.7692,139,147
original,MT-010,0.3592,0.7619,140,142
original,MT-011,0.5496,0.913,122,131
original,MT-012,0.2796,0.8667,99,93
original,MT-013,0.2934,0.7407,178,167
original,MT-014,0.1307,0.4091,158,153
original,MT-015,0.1292,0.3929,179,178
original,MT-016,0.2551,0.6667,184,196
original,MT-017,0.3269,0.8667,95,104
original,MT-018,0.3611,0.7931,173,180
original,MT-019,0.2365,0.65,202,203
original,MT-020,0.2563,0.6923,192,199
grayscale,MT-001,0.1712,0.381,109,111
grayscale,MT-002,0.0989,0.2857,95,91
grayscale,MT-003,0.5667,0.9545,129,120
grayscale,MT-004,0.1368,0.4,189,190
grayscale,MT-005,0.479,0.9,105,119
grayscale,MT-006,0.2389,0.55,109,113
grayscale,MT-007,0.4932,0.8462,66,73
grayscale,MT-008,0.539,0.9259,133,141
grayscale,MT-009,0.4286,0.7692,139,147
grayscale,MT-010,0.3592,0.7619,140,142
grayscale,MT-011,0.5496,0.913,122,131
grayscale,MT-012,0.2796,0.8667,99,93
grayscale,MT-013,0.2934,0.7407,178,167
grayscale,MT-014,0.1307,0.4091,158,153
grayscale,MT-015,0.1292,0.3929,179,178
grayscale,MT-016,0.2551,0.6667,184,196
grayscale,MT-017,0.3269,0.8667,95,104
grayscale,MT-018,0.3611,0.7931,173,180
grayscale,MT-019,0.2365,0.65,202,203
grayscale,MT-020,0.2563,0.6923,192,199
denoised,MT-001,0.1261,0.3333,113,111
denoised,MT-002,0.1209,0.2857,97,91
denoised,MT-003,0.55,0.9545,130,120
denoised,MT-004,0.1684,0.4333,188,190
denoised,MT-005,0.5294,0.95,105,119
denoised,MT-006,0.2478,0.6,108,113
denoised,MT-007,0.4795,0.8462,66,73
denoised,MT-008,0.5177,0.9259,139,141
denoised,MT-009,0.449,0.8846,144,147
denoised,MT-010,0.4648,0.8571,140,142
denoised,MT-011,0.4198,0.7826,119,131
denoised,MT-012,0.3226,0.8,97,93
denoised,MT-013,0.3234,0.7407,175,167
denoised,MT-014,0.1373,0.4091,156,153
denoised,MT-015,0.1292,0.4643,179,178
denoised,MT-016,0.2398,0.6,195,196
