timestamp,config,sample,secs,chars,status,error
2026-09-17T18:46:10,grayscale,MT-001,134.2,109,ok,
2026-09-17T18:46:28,grayscale,MT-002,18.5,95,ok,
2026-09-17T18:46:52,grayscale,MT-003,23.5,129,ok,
2026-09-17T18:47:22,grayscale,MT-004,30.9,189,ok,
2026-09-17T18:47:46,grayscale,MT-005,23.6,105,ok,
2026-09-17T18:48:06,grayscale,MT-006,20.2,109,ok,
2026-09-17T18:48:20,grayscale,MT-007,14.0,66,ok,
2026-09-17T18:48:44,grayscale,MT-008,23.9,133,ok,
2026-09-17T18:49:09,grayscale,MT-009,24.6,139,ok,
2026-09-17T18:49:44,grayscale,MT-010,35.4,140,ok,
2026-09-17T18:50:05,grayscale,MT-011,21.4,122,ok,
2026-09-17T18:50:25,grayscale,MT-012,19.8,99,ok,
2026-09-17T18:50:57,grayscale,MT-013,31.4,178,ok,
2026-09-17T18:51:26,grayscale,MT-014,29.0,158,ok,
2026-09-17T18:51:55,grayscale,MT-015,28.9,179,ok,
2026-09-17T18:52:24,grayscale,MT-016,29.9,184,ok,
2026-09-17T18:52:51,grayscale,MT-017,26.1,95,ok,
2026-09-17T18:53:19,grayscale,MT-018,28.2,173,ok,
2026-09-17T18:53:52,grayscale,MT-019,32.9,202,ok,
2026-09-17T18:54:26,grayscale,MT-020,34.5,192,ok,
2026-09-17T18:54:47,denoised,MT-001,20.6,113,ok,
2026-09-17T18:55:07,denoised,MT-002,20.4,97,ok,
2026-09-17T18:55:31,denoised,MT-003,23.9,130,ok,
2026-09-17T18:56:03,denoised,MT-004,32.1,188,ok,
2026-09-17T18:56:11,denoised,MT-005,7.9,0,FAILED,HTTPError: 503 Server Error: Service Unavailable for url: https://6207-34-105-78-111.ngrok-free.app/transcribe
2026-09-17T18:56:31,denoised,MT-006,19.7,0,FAILED,"SSLError: HTTPSConnectionPool(host='6207-34-105-78-111.ngrok-free.app', port=443): Max retries exceeded with url: /transcribe (Caused by SSLError(SSLEOFError(8,"
2026-09-17T18:56:33,denoised,MT-007,1.7,0,FAILED,HTTPError: 404 Client Error: Not Found for url: https://6207-34-105-78-111.ngrok-free.app/transcribe
2026-09-17T18:56:34,denoised,MT-008,1.8,0,FAILED,HTTPError: 404 Client Error: Not Found for url: https://6207-34-105-78-111.ngrok-free.app/transcribe
